Georgiana	AL	31.64	-86.75
Geraldine	AL	34.36	-86.00
Gilbertown	AL	31.87	-88.31
Glen Allen	AL	33.89	-87.73
Glencoe	AL	33.95	-85.93
Glenwood	AL	31.67	-86.17
Goldville	AL	33.08	-85.78
Good Hope	AL	34.11	-86.87
Goodwater	AL	33.06	-86.05
Gordo	AL	33.32	-87.90
Gordon	AL	31.14	-85.09
Gordonville	AL	32.16	-86.70
Goshen	AL	31.72	-86.12
Graham	AL	33.46	-85.32
Grand Bay	AL	30.47	-88.34
Grant	AL	34.52	-86.26
Grayson Valley	AL	33.65	-86.64
Graysville	AL	33.63	-86.94
Greensboro	AL	32.70	-87.59
Greenville	AL	31.84	-86.64
Grimes	AL	31.30	-85.45
Grove Hill	AL	31.70	-87.77
Gu-Win	AL	33.94	-87.87
Guin	AL	33.98	-87.90
Gulf Shores	AL	30.28	-87.70
Gulfcrest	AL	30.99	-88.24
Guntersville	AL	34.37	-86.25
Gurley	AL	34.70	-86.38
Hackleburg	AL	34.27	-87.83
Hackneyville	AL	33.05	-85.93
Haleburg	AL	31.41	-85.14
Haleyville	AL	34.23	-87.62
Hamilton	AL	34.14	-87.97
Hammondville	AL	34.57	-85.64
Hanceville	AL	34.06	-86.76
Hanover	AL	33.00	-86.20
Harpersville	AL	33.32	-86.43
Hartford	AL	31.11	-85.69
Hartselle	AL	34.44	-86.94
Harvest	AL	34.86	-86.76
Hatton	AL	34.56	-87.41
Hayden	AL	33.89	-86.74
Hayneville	AL	32.18	-86.58
Hazel Green	AL	34.92	-86.57
Headland	AL	31.35	-85.36
Heath	AL	31.34	-86.47
Heflin	AL	33.65	-85.57
Helena	AL	33.28	-86.88
Henagar	AL	34.63	-85.73
Highland Lake	AL	33.89	-86.42
Highland Lakes	AL	33.40	-86.65
Hillsboro	AL	34.64	-87.18
Hissop	AL	32.89	-86.13
Hobson	AL	31.49	-88.15
Hobson City	AL	33.62	-85.85
Hodges	AL	34.33	-87.92
Hokes Bluff	AL	33.99	-85.86
Hollins	AL	33.12	-86.13
Hollis Crossroads	AL	33.53	-85.65
Holly Pond	AL	34.17	-86.61
Hollywood	AL	34.72	-85.97
Holt	AL	33.23	-87.48
Holtville	AL	32.63	-86.33
Homewood	AL	33.46	-86.81
Hoover	AL	33.38	-86.81
Horn Hill	AL	31.24	-86.33
Hueytown	AL	33.41	-87.02
Huguley	AL	32.84	-85.24
Huntsville	AL	34.70	-86.68
Hurtsboro	AL	32.24	-85.41
Hytop	AL	34.90	-86.09
Ider	AL	34.70	-85.67
Indian Springs Village	AL	33.36	-86.75
Irondale	AL	33.54	-86.66
Ivalee	AL	34.04	-86.15
Jackson	AL	31.53	-87.89
Jacksons' Gap	AL	32.88	-85.82
Jacksonville	AL	33.81	-85.76
Jasper	AL	33.85	-87.27
Jemison	AL	32.97	-86.73
Joppa	AL	34.30	-86.55
Kansas	AL	33.90	-87.56
Kellyton	AL	32.98	-86.03
Kennedy	AL	33.58	-87.99
Killen	AL	34.86	-87.53
Kimberly	AL	33.78	-86.80
Kinsey	AL	31.30	-85.33
Kinston	AL	31.22	-86.17
La Fayette	AL	32.90	-85.40
Ladonia	AL	32.46	-85.09
Lake View	AL	33.29	-87.13
Lakeview	AL	34.39	-85.98
Lanett	AL	32.86	-85.21
Langston	AL	34.55	-86.09
Leeds	AL	33.55	-86.57
Leesburg	AL	34.18	-85.78
Leighton	AL	34.69	-87.52
Leroy	AL	31.49	-87.97
Lester	AL	34.98	-87.16
Level Plains	AL	31.31	-85.77
Lexington	AL	34.96	-87.37
Libertyville	AL	31.24	-86.46
Lillian	AL	30.42	-87.42
Lincoln	AL	33.58	-86.13
Linden	AL	32.30	-87.79
Lineville	AL	33.31	-85.75
Lipscomb	AL	33.43	-86.93
Lisman	AL	32.17	-88.28
Littleville	AL	34.60	-87.67
Livingston	AL	32.60	-88.19
Loachapoka	AL	32.61	-85.60
Lockhart	AL	31.01	-86.35
Locust Fork	AL	33.88	-86.65
Lookout Mountain	AL	34.12	-85.97
Louisville	AL	31.78	-85.56
Lowndesboro	AL	32.28	-86.61
Loxley	AL	30.68	-87.74
Luverne	AL	31.72	-86.27
Lynn	AL	34.06	-87.55
Macedonia	AL	33.40	-88.24
Madison	AL	34.71	-86.76
Madrid	AL	31.04	-85.40
Magnolia Springs	AL	30.40	-87.78
Malcolm	AL	31.20	-88.00
Malvern	AL	31.14	-85.52
Maplesville	AL	32.78	-86.88
Marbury	AL	32.67	-86.46
Margaret	AL	33.67	-86.46
Marion	AL	32.63	-87.32
Maytown	AL	33.55	-87.00
McCalla	AL	33.30	-87.03
McDonald Chapel	AL	33.52	-86.94
McIntosh	AL	31.26	-88.03
McKenzie	AL	31.55	-86.73
McMullen	AL	33.15	-88.18
Meadowbrook	AL	33.40	-86.70
Megargel	AL	31.38	-87.43
Memphis	AL	33.14	-88.31
Mentone	AL	34.56	-85.59
Meridianville	AL	34.87	-86.58
Midfield	AL	33.46	-86.92
Midland City	AL	31.32	-85.49
Midway	AL	32.08	-85.52
Mignon	AL	33.19	-86.26
Millbrook	AL	32.50	-86.37
Millerville	AL	33.19	-85.93
Millport	AL	33.56	-88.08
Millry	AL	31.62	-88.33
Minor	AL	33.54	-86.94
Mobile	AL	30.67	-88.10
Monroeville	AL	31.52	-87.33
Montevallo	AL	33.13	-86.85
Montgomery	AL	32.35	-86.27
Moody	AL	33.60	-86.49
Moores Mill	AL	34.85	-86.52
Mooresville	AL	34.63	-86.88
Morris	AL	33.75	-86.80
Morrison Crossroads	AL	33.42	-85.49
Mosses	AL	32.19	-86.68
Moulton	AL	34.49	-87.28
Moundville	AL	33.00	-87.63
Mount Olive	AL	33.67	-86.88
Mount Vernon	AL	31.09	-88.01
Mountain Brook	AL	33.49	-86.73
Movico	AL	31.06	-88.03
Mulga	AL	33.56	-86.97
Munford	AL	33.53	-85.95
Muscle Shoals	AL	34.74	-87.63
Myrtlewood	AL	32.25	-87.95
Nanafalia	AL	32.11	-88.00
Nances Creek	AL	33.86	-85.67
Napier Field	AL	31.31	-85.45
Natural Bridge	AL	34.09	-87.60
Nauvoo	AL	33.98	-87.49
Nectar	AL	33.98	-86.62
Needham	AL	31.99	-88.34
New Brockton	AL	31.38	-85.92
New Hope	AL	34.54	-86.41
New Market	AL	34.89	-86.43
New Site	AL	33.03	-85.78
New Union	AL	34.13	-86.23
Newbern	AL	32.59	-87.54
Newton	AL	31.34	-85.59
Newville	AL	31.42	-85.34
Nixburg	AL	32.86	-86.10
North Courtland	AL	34.68	-87.31
North Johns	AL	33.37	-87.10
Northport	AL	33.26	-87.60
Notasulga	AL	32.56	-85.67
Oak Grove	AL	33.19	-86.30
Oak Hill	AL	31.92	-87.09
Oakman	AL	33.71	-87.39
Odenville	AL	33.70	-86.42
Ohatchee	AL	33.79	-86.03
Oneonta	AL	33.95	-86.49
Onycha	AL	31.23	-86.28
Opelika	AL	32.66	-85.38
Opp	AL	31.28	-86.26
Orange Beach	AL	30.29	-87.60
Orrville	AL	32.31	-87.25
Our Town	AL	32.84	-85.97
Owens Cross Roads	AL	34.59	-86.46
Oxford	AL	33.60	-85.87
Ozark	AL	31.45	-85.65
Paint Rock	AL	34.66	-86.33
Panola	AL	32.95	-88.26
Parrish	AL	33.73	-87.28
Pea Ridge	AL	33.13	-86.94
Pelham	AL	33.32	-86.74
Pell City	AL	33.56	-86.26
Pennington	AL	32.20	-88.04
Penton	AL	33.01	-85.47
Perdido	AL	31.01	-87.63
Perdido Beach	AL	30.35	-87.50
Peterman	AL	31.58	-87.26
Petrey	AL	31.85	-86.20
